AUROC,MSE,TRAIN_LOSS,VAL_LOSS,ACCURACY,RECALL,PRECISION,F1,CONFUSION_MATRIX
0.95199776198,0.0350849791299,0.0288061356483,0.0320676030946,0.959755476312,0.703125,0.428571428571,0.532544378698,"[[1839   60]
 [  19   45]]"
0.946332773828,0.0566504425258,0.0676420798569,0.0531676377756,0.939378502292,0.734375,0.315436241611,0.441314553991,"[[1797  102]
 [  17   47]]"
0.946155871511,0.0385031264964,0.0295158378075,0.035459056884,0.951604686704,0.765625,0.37984496124,0.507772020725,"[[1819   80]
 [  15   49]]"
0.945802066877,0.043112109685,0.0502012345949,0.0413285933784,0.944982170148,0.734375,0.340579710145,0.465346534653,"[[1808   91]
 [  17   47]]"
0.945374210111,0.0512841750894,0.0550656556781,0.0506450497108,0.929699439633,0.78125,0.287356321839,0.420168067227,"[[1775  124]
 [  14   50]]"
0.944362164297,0.0404068034353,0.0469705290702,0.0412362358674,0.945491594498,0.78125,0.34965034965,0.48309178744,"[[1806   93]
 [  14   50]]"
0.943728607162,0.0483400423374,0.0550194253092,0.0470141370218,0.943963321447,0.78125,0.342465753425,0.47619047619,"[[1803   96]
 [  14   50]]"
0.943012769879,0.0477038912926,0.0363932555384,0.047941814303,0.943453897096,0.8125,0.344370860927,0.483720930233,"[[1800   99]
 [  12   52]]"
0.942946945761,0.0288275693859,0.0406036687824,0.0277792435523,0.966887417219,0.734375,0.494736842105,0.591194968553,"[[1851   48]
 [  17   47]]"
0.942099460242,0.0451582823023,0.0498622302324,0.044017593214,0.948548140601,0.75,0.360902255639,0.48730964467,"[[1814   85]
 [  16   48]]"
0.941984268036,0.041170459247,0.0407782139289,0.0412640398165,0.950585838003,0.8125,0.379562043796,0.517412935323,"[[1814   85]
 [  12   52]]"
0.941844391785,0.0518737274357,0.0614911792449,0.0524195579928,0.940906775344,0.78125,0.328947368421,0.462962962963,"[[1797  102]
 [  14   50]]"
0.941762111638,0.0389099394726,0.0351648917468,0.0380624851153,0.951095262354,0.78125,0.378787878788,0.510204081633,"[[1817   82]
 [  14   50]]"
0.94119437862,0.0472445933997,0.0516220076662,0.0452375157635,0.943963321447,0.765625,0.340277777778,0.471153846154,"[[1804   95]
 [  15   49]]"
0.940857030016,0.050425284336,0.0600385481444,0.0494400838753,0.93734080489,0.78125,0.314465408805,0.448430493274,"[[1790  109]
 [  14   50]]"
0.940848802001,0.051572975932,0.0593855850269,0.0499521132623,0.917473255222,0.765625,0.25,0.376923076923,"[[1752  147]
 [  15   49]]"
0.940807661927,0.043028803324,0.0373984952873,0.0394722747253,0.9475292919,0.78125,0.359712230216,0.492610837438,"[[1810   89]
 [  14   50]]"
0.940799433913,0.0346722052073,0.0393654884462,0.0360576512898,0.956698930209,0.75,0.410256410256,0.530386740331,"[[1830   69]
 [  16   48]]"
0.940733609795,0.0474968623076,0.0580422320787,0.0458330167467,0.940906775344,0.765625,0.326666666667,0.457943925234,"[[1798  101]
 [  15   49]]"
0.940700697736,0.0394288387332,0.0440983559769,0.0401357646754,0.943963321447,0.75,0.338028169014,0.466019417476,"[[1805   94]
 [  16   48]]"
0.940700697736,0.0453422491091,0.0453505921051,0.0446799874959,0.946001018849,0.765625,0.35,0.480392156863,"[[1808   91]
 [  15   49]]"
0.940536137441,0.04499885966,0.0474245267169,0.0446047375964,0.948548140601,0.765625,0.362962962963,0.492462311558,"[[1813   86]
 [  15   49]]"
0.940404489205,0.0486444651158,0.0579120998818,0.0468085508387,0.942435048395,0.78125,0.335570469799,0.469483568075,"[[1800   99]
 [  14   50]]"
0.94023992891,0.040426497647,0.0490096663835,0.0385381656297,0.953642384106,0.765625,0.392,0.518518518519,"[[1823   76]
 [  15   49]]"
0.94022347288,0.0390403239513,0.0279691006605,0.0400376154735,0.950076413653,0.8125,0.376811594203,0.514851485149,"[[1813   86]
 [  12   52]]"
0.939968404423,0.0486726864787,0.0610302167142,0.0476652674916,0.946001018849,0.765625,0.35,0.480392156863,"[[1808   91]
 [  15   49]]"
0.939960176409,0.045863812099,0.0459809593684,0.0452676921339,0.944982170148,0.765625,0.345070422535,0.47572815534,"[[1806   93]
 [  15   49]]"
0.939713335966,0.0380659640894,0.0392134836822,0.0387649355337,0.953132959755,0.765625,0.388888888889,0.515789473684,"[[1822   77]
 [  15   49]]"
0.939030410742,0.0393855291261,0.0362558671888,0.0420125157522,0.955680081508,0.796875,0.408,0.539682539683,"[[1825   74]
 [  13   51]]"
0.93862723802,0.0327975416301,0.0300813598874,0.0335554903816,0.959755476312,0.78125,0.434782608696,0.558659217877,"[[1834   65]
 [  14   50]]"
0.938421537651,0.0438057782345,0.043456422557,0.0452657634588,0.94701986755,0.75,0.352941176471,0.48,"[[1811   88]
 [  16   48]]"
0.938347485519,0.0323656811822,0.0248984748638,0.0337917052027,0.960774325013,0.75,0.440366972477,0.554913294798,"[[1838   61]
 [  16   48]]"
0.938174697209,0.0538288587417,0.0603399881836,0.0549500999891,0.938869077942,0.765625,0.318181818182,0.449541284404,"[[1794  105]
 [  15   49]]"
0.938014250922,0.0551720548062,0.0597104063301,0.0558407741098,0.934793683138,0.78125,0.30487804878,0.438596491228,"[[1785  114]
 [  14   50]]"
0.937631648236,0.051792114192,0.0579561861543,0.0502228396703,0.938869077942,0.78125,0.320512820513,0.454545454545,"[[1793  106]
 [  14   50]]"
0.937582280147,0.0509148615072,0.0578984547164,0.0499703619139,0.935303107489,0.765625,0.304347826087,0.435555555556,"[[1787  112]
 [  15   49]]"
0.937281957609,0.0403153796256,0.0441521750901,0.043838581995,0.957208354559,0.8125,0.41935483871,0.553191489362,"[[1827   72]
 [  12   52]]"
0.936808846761,0.048962037834,0.0502876876639,0.0478233734903,0.942435048395,0.8125,0.339869281046,0.479262672811,"[[1798  101]
 [  12   52]]"
0.936413902054,0.0420124470742,0.0650443666446,0.0424462608256,0.9475292919,0.75,0.355555555556,0.482412060302,"[[1812   87]
 [  16   48]]"
0.936224657715,0.0446875620322,0.0463110279779,0.0456275804525,0.948548140601,0.765625,0.362962962963,0.492462311558,"[[1813   86]
 [  15   49]]"
0.935805028963,0.0452641050191,0.047205456131,0.0458412056031,0.943453897096,0.765625,0.337931034483,0.468899521531,"[[1803   96]
 [  15   49]]"
0.935525276461,0.0343226662981,0.0303701168986,0.0353276451288,0.963321446765,0.765625,0.462264150943,0.576470588235,"[[1842   57]
 [  15   49]]"
0.935253751975,0.0413710355783,0.0400343644056,0.0411571900187,0.942944472746,0.765625,0.335616438356,0.466666666667,"[[1802   97]
 [  15   49]]"
0.935113875724,0.0443469086593,0.0501180608517,0.0417309075586,0.950585838003,0.765625,0.374045801527,0.502564102564,"[[1817   82]
 [  15   49]]"
0.934764185097,0.0427261010023,0.0455535462452,0.0462865108637,0.954661232807,0.765625,0.39837398374,0.524064171123,"[[1825   74]
 [  15   49]]"
0.934735387046,0.0658624422711,0.0365125252096,0.0718810532459,0.90473764646,0.84375,0.233766233766,0.366101694915,"[[1722  177]
 [  10   54]]"
0.934472090574,0.0479836677374,0.0606789057007,0.0454873002185,0.927152317881,0.734375,0.271676300578,0.396624472574,"[[1773  126]
 [  17   47]]"
0.934381582412,0.0402516536174,0.041895389784,0.0438758225829,0.955170657157,0.78125,0.403225806452,0.531914893617,"[[1825   74]
 [  14   50]]"
0.934282846235,0.0445069234143,0.0537000832599,0.0456954557809,0.946510443199,0.78125,0.354609929078,0.487804878049,"[[1808   91]
 [  14   50]]"
